iter	Logloss
0	0.6843625489
1	0.6760923103
2	0.6678748743
3	0.6596826915
4	0.6517736526
5	0.6438265754
6	0.6359331443
7	0.6287626743
8	0.6217129034
9	0.6149486057
10	0.6100121265
11	0.6036378856
12	0.5989117291
13	0.5927236564
14	0.5875295085
15	0.5817130135
16	0.5777398012
17	0.5724622064
18	0.5696849846
19	0.5659733861
20	0.5613990429
21	0.557017266
22	0.5530647232
23	0.5478344994
24	0.5450552203
25	0.5414600847
26	0.5387058621
27	0.5349164512
28	0.5308449143
29	0.5273992824
30	0.5228430675
31	0.5209265346
32	0.5177844577
33	0.5144292999
34	0.5115057346
35	0.5099545345
36	0.5079124319
37	0.5056783753
38	0.5041697237
39	0.5027786158
40	0.4999358693
41	0.4976892213
42	0.4952629158
43	0.4921919914
44	0.4903144054
45	0.4874178581
46	0.4845443671
47	0.4827186966
48	0.4814372243
49	0.4796735283
50	0.478720385
51	0.4765679337
52	0.4749140665
53	0.4737940479
54	0.4723858218
55	0.4712692541
56	0.4694928645
57	0.4685458745
58	0.467970111
59	0.4662817807
60	0.4651909103
61	0.4639082578
62	0.4630598678
63	0.460823408
64	0.4600930775
65	0.4587166614
66	0.457550544
67	0.4567049626
68	0.4557667189
69	0.4545241865
70	0.4538175933
71	0.4517402386
72	0.4509379202
73	0.4494637235
74	0.4481086458
75	0.4462026238
76	0.445294118
77	0.4440273905
78	0.4424477141
79	0.4414838279
80	0.4397317253
81	0.4390671683
82	0.4375161823
83	0.4369414397
84	0.436118624
85	0.4355379384
86	0.4341341899
87	0.4332227925
88	0.4325781799
89	0.4323393049
90	0.4319412207
91	0.4313658912
92	0.4304068571
93	0.4300217972
94	0.42878548
95	0.4281593212
96	0.4269232615
97	0.4260749522
98	0.4256943145
99	0.4248877987
100	0.4243572645
101	0.4234015718
102	0.4232039063
103	0.4225152943
104	0.4221729743
105	0.4215463825
106	0.4208834695
107	0.4206655348
108	0.4199607169
109	0.4195764956
110	0.4190812774
111	0.4188856337
112	0.4180531826
113	0.4170069003
114	0.4165385665
115	0.4162319399
116	0.4158296017
117	0.4153980677
118	0.4151095864
119	0.4142995
120	0.4140499072
121	0.4134105414
122	0.4130728714
123	0.4128036327
124	0.411900011
125	0.4112555695
126	0.4102921399
127	0.4092772465
128	0.4088751241
129	0.4085518803
130	0.4081377843
131	0.4078081371
132	0.4074923342
133	0.4072248617
134	0.4068770706
135	0.405999259
136	0.4057672634
137	0.4051405986
138	0.4048505765
139	0.4046443423
140	0.404398204
141	0.4041996087
142	0.4034945358
143	0.4029391014
144	0.4028344339
145	0.4022656133
146	0.4020342565
147	0.4017937813
148	0.4015882661
149	0.4013384767
150	0.4007419105
