iter	Passed	Remaining
0	4	4445
1	8	4468
2	12	4252
3	17	4237
4	21	4246
5	25	4258
6	30	4298
7	34	4285
8	39	4299
9	43	4314
10	48	4378
11	52	4358
12	57	4365
13	61	4351
14	64	4241
15	69	4244
16	73	4265
17	78	4255
18	82	4238
19	85	4210
20	90	4202
21	94	4216
22	99	4206
23	103	4198
24	107	4190
25	111	4192
26	116	4207
27	120	4187
28	125	4193
29	129	4193
30	133	4186
31	138	4187
32	143	4195
33	148	4210
34	152	4204
35	156	4186
36	160	4173
37	164	4176
38	169	4165
39	172	4133
40	176	4129
41	181	4139
42	186	4151
43	191	4153
44	195	4159
45	200	4165
46	205	4166
47	210	4173
48	215	4176
49	219	4171
50	224	4179
51	229	4186
52	234	4184
53	238	4175
54	242	4172
55	247	4178
56	252	4173
57	256	4165
58	260	4152
59	265	4152
60	269	4153
61	274	4151
62	279	4155
63	284	4154
64	289	4160
65	293	4153
66	298	4149
67	302	4143
68	306	4136
69	311	4142
70	316	4135
71	320	4132
72	324	4127
73	329	4128
74	334	4121
75	338	4114
76	343	4113
77	347	4112
78	352	4111
79	356	4104
80	360	4093
81	364	4081
82	368	4069
83	372	4060
84	376	4049
85	380	4041
86	384	4037
87	388	4029
88	393	4029
89	397	4019
90	401	4008
91	405	3997
92	409	3998
93	414	3993
94	418	3982
95	423	3987
96	428	3990
97	434	3995
98	438	3993
99	443	3994
100	448	3989
101	452	3987
102	458	3990
103	462	3984
104	466	3976
105	471	3972
106	474	3963
107	478	3955
108	482	3946
109	487	3941
110	491	3936
111	495	3926
112	498	3916
113	502	3907
114	507	3903
115	511	3894
116	514	3885
117	518	3879
118	524	3881
119	528	3875
120	532	3870
121	537	3869
122	542	3869
123	546	3863
124	550	3855
125	555	3854
126	560	3850
127	564	3842
128	568	3835
129	572	3834
130	577	3828
131	581	3822
132	584	3811
133	589	3809
134	593	3803
135	597	3795
136	601	3790
137	607	3792
138	610	3784
139	614	3777
140	619	3775
141	623	3770
142	627	3763
143	631	3755
144	636	3755
145	641	3750
146	645	3743
147	649	3740
148	655	3742
149	658	3732
150	663	3729
151	667	3726
152	672	3724
153	676	3717
154	681	3713
155	686	3711
156	690	3705
157	694	3699
158	699	3702
159	705	3702
160	709	3699
161	715	3699
162	720	3701
163	726	3701
164	731	3700
165	736	3700
166	740	3695
167	744	3688
168	749	3686
169	753	3680
170	757	3674
171	761	3667
172	766	3664
173	770	3657
174	774	3649
175	777	3641
176	782	3636
177	786	3629
178	788	3617
179	792	3611
180	796	3603
181	801	3601
182	806	3599
183	811	3599
184	819	3609
185	825	3612
186	832	3619
187	841	3633
188	848	3640
189	853	3638
190	858	3636
191	864	3638
192	869	3637
193	874	3633
194	880	3634
195	885	3631
196	890	3630
197	894	3624
198	899	3619
199	904	3618
200	909	3615
201	915	3617
202	920	3614
203	924	3608
204	929	3605
205	933	3598
206	937	3592
207	941	3586
208	946	3580
209	949	3573
210	954	3570
211	959	3567
212	964	3564
213	968	3558
214	973	3553
215	977	3548
216	981	3541
217	985	3533
218	989	3527
219	993	3522
220	997	3516
221	1001	3510
222	1005	3505
223	1010	3501
224	1015	3496
225	1019	3490
226	1021	3479
227	1026	3474
228	1030	3469
229	1034	3463
230	1038	3458
231	1043	3454
232	1048	3450
233	1052	3444
234	1056	3440
235	1061	3435
236	1065	3430
237	1070	3427
238	1077	3431
239	1083	3429
240	1088	3429
241	1095	3431
242	1100	3428
243	1105	3423
244	1110	3423
245	1116	3422
246	1120	3417
247	1127	3418
248	1132	3416
249	1137	3411
250	1142	3408
251	1146	3402
252	1150	3396
253	1154	3391
254	1159	3387
255	1163	3382
256	1167	3376
257	1172	3371
258	1177	3368
259	1181	3363
260	1185	3357
261	1190	3352
262	1194	3347
263	1199	3343
264	1203	3339
265	1208	3334
266	1213	3330
267	1217	3326
268	1222	3321
269	1224	3310
270	1229	3306
271	1233	3302
272	1238	3298
273	1243	3293
274	1247	3288
275	1252	3286
276	1260	3289
277	1264	3284
278	1269	3281
279	1274	3276
280	1278	3271
281	1282	3265
282	1288	3263
283	1293	3259
284	1296	3253
285	1301	3248
286	1306	3245
287	1311	3241
288	1315	3235
289	1319	3230
290	1324	3226
291	1327	3219
292	1331	3213
293	1336	3208
294	1340	3202
295	1344	3196
296	1348	3190
297	1352	3185
298	1356	3180
299	1361	3176
300	1366	3173
301	1371	3170
302	1375	3164
303	1379	3159
304	1384	3154
305	1388	3148
306	1392	3143
307	1396	3138
308	1400	3132
309	1405	3127
